,Q1A,Q1B,Q1C,Q1D,Q1E,Q3,Q5B,Q6,Q7,Q11A,Q12,Q13A,Q13B,Q13C,Q14A,Q14B,Q14C,Q14D,Q14E,Q16,Q17,Q21A,Q21D,Q24A,Q27C,Q30,Q34,Q35,Q41B
139,-1,1,2,-1,1,-1,1,-1,0,0,-1,1,1,1,1,1,1,1,1,1,1,0,0,-1,2,-1,0,0,0
140,-2,-2,-2,-2,-2,1,-2,-1,0,0,-1,-1,-1,-1,1,1,-1,1,1,-1,1,0,0,-2,-2,0,-1,0.5,-1
141,-1,2,2,2,-2,-1,-2,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,0,0,-2,-1,0,1,2,-1
142,-2,-1,2,2,2,1,2,1,2,0,1,1,-1,-1,1,1,1,1,1,-1,1,0,0,-2,2,0,1,4,-1
143,-2,-2,2,2,-2,1,2,1,2,0,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-1,0,0,1,1,-1,1,2,0
144,2,2,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,-1,2,1,0,1,4,-1
145,1,-2,2,2,1,1,2,-1,0,0,1,1,-1,-1,1,1,1,1,-1,-1,-1,0,0,2,1,0,0,5,-1
146,2,-1,2,2,1,1,1,-1,0,0,-1,1,1,1,-1,1,1,1,1,1,1,0,0,-1,1,0,1,2,0
147,2,2,2,2,1,1,2,1,1,1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,1,-1,2,-1,-1,3,0
148,1,2,2,1,1,1,1,1,2,0,-1,1,1,-1,1,1,1,1,1,-1,1,0,0,1,-1,0,-1,0.5,-1
149,1,-1,2,2,-1,1,-2,-1,0,0,-1,1,1,-1,1,1,1,-1,1,-1,1,0,0,1,1,-1,0,3,0
150,2,1,2,2,-1,0,2,1,2,0,1,1,1,-1,1,1,1,1,-1,1,-1,0,0,-2,-1,0,-1,0.5,-1
151,2,1,-2,2,-2,1,1,-1,0,0,1,1,1,-1,1,1,1,1,1,1,-1,0,0,2,1,-1,0,5,-1
152,2,2,2,0,2,-1,2,-1,0,0,1,0,1,-1,1,1,-1,1,-1,-1,-1,0,0,-1,0,-1,-1,1,0
153,-1,1,2,2,1,1,2,1,1,1,0,1,1,-1,1,1,1,1,1,1,1,0,0,1,1,0,1,4,0
154,0,1,1,2,-1,1,0,1,2,0,1,1,1,1,1,1,1,0,1,1,1,0,0,2,1,-1,-1,0.5,0
155,-1,1,2,2,-1,1,2,1,2,0,1,1,-1,-1,1,1,1,-1,1,1,-1,0,0,-2,2,0,1,2,-1
