,Q13C,Q18AA,Q18AB,Q20,Q21,Q22,Q23A,Q23B,Q23C,Q23D,Q24,Q25,Q26,Q27,Q29,Q29A,Education,AgeCat,PoliticalPartyAffiliation,Income,PoliticsGeneral,10
697,10,10,10,10,-10,10,-10,10,0,10,-10,10,0,10,10,-10,13,70,10,25,-10,-10
698,0,-8,8,-10,-10,10,10,10,-10,10,-10,-10,-10,0,10,-10,16,49.5,-8,95,-10,-10
699,10,10,10,10,-10,8,10,10,10,10,10,-10,-10,0,10,10,13,59.5,-10,35,-10,-10
700,-10,8,10,10,-10,10,0,0,0,0,-10,-10,10,0,10,10,8,49.5,8,20,10,-8
701,-10,10,10,10,-10,10,10,-10,-10,10,0,10,0,10,10,10,13,29.5,10,20,0,8
702,0,-10,10,10,-10,-8,-10,-10,10,10,-10,10,0,10,10,-10,8,59.5,0,20,10,8
703,0,10,10,10,-10,10,0,10,10,10,-10,10,0,10,10,10,8,59.5,0,20,0,-10
704,0,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,20,29.5,8,20,10,0
705,10,10,8,10,8,8,10,10,10,10,0,10,0,10,10,10,13,59.5,0,45,-10,0
706,0,10,10,10,8,10,10,10,10,10,10,10,0,-10,10,10,12,29.5,8,20,0,10
707,0,10,10,10,10,10,-10,10,-10,10,10,10,0,10,10,10,16,29.5,10,45,10,0
708,-10,10,10,0,-10,10,10,10,10,10,0,10,0,10,10,10,16,39.5,-8,120,-10,10
709,0,10,10,10,8,10,0,0,0,0,-10,10,0,10,10,10,12,49.5,0,20,0,10
710,10,10,10,10,8,10,-10,10,10,10,10,10,0,10,10,10,12,49.5,10,20,0,-10
711,-10,10,10,10,8,10,10,10,10,10,10,10,0,10,10,10,16,29.5,10,62.5,10,0
712,0,-10,-8,-10,-10,-10,10,-10,-10,10,0,-10,-10,0,-10,0,13,70,-8,120,-10,10
713,10,10,10,10,-10,-10,-10,-10,-10,-10,-10,10,0,-10,10,10,8,59.5,10,20,0,10
714,0,8,10,-10,-10,8,10,10,10,10,10,10,0,10,10,10,12,70,8,25,-10,10
715,-10,8,10,-10,-10,8,-10,10,10,-10,-10,-10,-10,0,10,-10,12,49.5,0,20,0,0
716,0,10,10,10,8,10,10,10,10,10,-10,10,0,10,10,10,16,49.5,8,120,0,10
717,-10,10,10,10,-10,10,-10,-10,-10,10,-10,-10,10,0,10,10,12,49.5,-8,62.5,0,10
718,-10,-10,10,-10,-10,-10,10,10,10,10,0,10,0,10,10,0,16,39.5,0,120,0,10
719,10,8,10,10,-10,8,10,10,10,10,10,10,0,10,10,10,20,49.5,10,120,10,10
720,0,10,10,10,8,10,10,10,10,10,-10,10,0,10,10,10,16,29.5,10,35,0,0
721,10,8,10,-10,10,10,10,10,10,10,0,10,0,10,10,10,16,70,10,20,10,5
722,-10,10,10,10,8,8,-10,10,10,-10,-10,-10,-10,0,10,-10,12,49.5,10,20,0,10
723,0,-10,10,-10,-10,-10,10,10,10,10,0,-10,0,0,10,10,20,0,-10,0,-10,0
724,0,10,10,10,8,10,10,10,10,10,-10,10,0,10,10,10,16,29.5,10,120,0,0
725,0,-10,8,-10,-10,-8,10,10,10,10,0,0,0,0,10,-10,14,49.5,-8,120,-10,-10
726,0,8,10,-10,8,8,10,10,10,10,-10,-10,-10,0,10,0,14,59.5,-10,62.5,-10,10
727,0,8,10,10,8,8,-10,10,-10,10,-10,10,0,10,10,10,13,39.5,10,35,10,8
728,0,10,10,10,8,10,10,10,10,10,10,10,0,10,10,10,13,70,10,95,10,10
